type,x,y,z,rotation
Block_1x10,257.65,2.7,0,0
Block_1x10,267.65,2.7,0,0
PT_GravityOn,259.35,-0.3,0,0
PT_Gravityfalse,261.92,-1.3,0,0
Block,267.2,-0.3,0,0
Block,271.1,1.7,0,0
Block_2x2,282.75,2.7,0,0
Block_2x2,286.65,2.7,0,0
Block_1x5,291.5,2.7,0,0
Block_5x1,292.5,2.7,0,0
Coin,292.5,1.7,0,0
Coin,296.4,1.7,0,0
Block_5x1,300.4,2.7,0,0
PT_GravityOn,300.3,0.7,0,0
Block_1x10,232.85,3.7,0,0
PT_Gravityfalse,233.96,1.7,0,0
Spike,265.2,-2.3,0,0
Spike,267.15,-2.3,0,0
Spike,269.1,-2.3,0,0
Spike,271.05,-2.3,0,0
Block,126.75,2.7,0,0
Star,285.23,3.75,0,94.09207
Star,288.95,3.7,0,94.09207
Block_2x10,295.4,3.7,0,0
Block_2x2,303.2,-2.3,0,0
Block_2x2,301.25,-2.3,0,0
Block,308.1,-0.3,0,0
Coin,310.05,1.7,0,0
Coin,312,2.7,0,0
Coin,313.06,1.7,0,0
Coin,313.87,-0.3,0,0
Block,312,-2.3,0,0
Block,319.8,-2.3,0,0
Block_1x10,321.75,-1.3,0,0
Block_1x10,331.5,-0.3,0,0
Coin,333.45,0.7,0,0
Coin,335.4,0.7,0,0
Block,343.2,-0.3,0,0
Block_1x10,347.1,0.7,0,0
Coin,343.2,0.7,0,0
Coin,347.1,1.7,0,0
Coin,349.05,1.7,0,0
Spike,349.05,-2.3,0,0
Spike,352.95,-2.3,0,0
Coin,354.9,-1.3,0,0
Block,352.95,1.7,0,0
Block_2x5,360.75,-1.3,0,0
Block,358.9,1.7,0,0
Block,364.65,-0.3,0,0
Block,368.55,-0.3,0,0
Block_1x10,364.65,0.7,0,0
Coin,366.6,1.7,0,0
Coin,370.5,1.7,0,0
Coin,368.5,-1.3,0,0
Coin,364.6,-1.3,0,0
Block,378.3,1.7,0,0
Block_5x1,380.25,-2.3,0,0
Block_5x1,386.1,-1.3,0,0
Block_1x10,391.95,-0.3,0,0
Block,391.95,2.7,0,0
Block,393.9,2.7,0,0
Block,395.85,2.7,0,0
Block,397.8,2.7,0,0
Coin,391.95,1.7,0,0
Coin,393.9,0.7,0,0
Coin,395.85,1.7,0,0
Coin,397.8,0.7,0,0
Block_2x2,402.7,-2.3,0,0
Block_2x2,404.7,-2.3,0,0
Block_1x10,407.55,-0.3,0,0
Block_1x10,407.55,3.7,0,0
Block,411.45,0.7,0,0
Block,413.4,-2.3,0,0
Block_1x10,431.2,3.7,0,0
Block_1x10,431.2,-0.3,0,0
Block_2x10,419.2,-2.3,0,0
Coin,421.2,-0.3,0,0
Coin,423.15,-0.3,0,0
Coin,425.1,-0.3,0,0
Coin,427.05,-0.3,0,0
Coin,430.95,1.7,0,0
PT_Ship,450.18,1.7,0,0
Star,290.3,3.7,0,326.1762
Block_2x1,297.5,2.7,0,0
Block,299.5,2.7,0,0
Block_5x1,277.69,2.7,0,0
Block_2x2,429.2,3.7,0,0
Block_2x2,429.2,-2.3,0,0
Block_1x10,441.2,-0.3,0,0
Block_1x10,441.2,3.7,0,0
Block,432.9,2.7,0,0
Block,434.85,2.7,0,0
Block,438.75,2.7,0,0
Block,440.7,2.7,0,0
Star,452.4,4.7,0,62.86672
Star,454.35,3.7,0,62.86672
Star,456.3,2.7,0,62.86672
Star,458.25,3.7,0,62.86672
Star,460.2,-1.8,0,62.86672
Star,464.1,-0.8,0,62.86672
Star,466.05,-0.8,0,62.86672
Star,469.95,2.7,0,62.86672
Star,473.85,1.7,0,62.86672
Star,477.75,0.7,0,62.86672
Star,483.6,4.7,0,62.86672
Star,485.55,-2.3,0,62.86672
Star,487.5,5.7,0,62.86672
Star,489.45,-1.3,0,62.86672
Star,493.35,-2.3,0,62.86672
Star,497.25,-2.3,0,62.86672
Star,501.15,5.7,0,62.86672
Star,505.05,5.7,0,62.86672
Star,508.95,5.7,0,62.86672
Star,505.05,-0.3,0,62.86672
Block_2x5,512.85,-2.3,0,0
Block_2x2,512.85,5.7,0,0
PT_UFO,512.85,3.7,0,0
Block_5x1,518.7,0.7,0,0
Block_5x1,522.6,4.7,0,0
Block_5x1,526.5,-2.3,0,0
Star,534.3,0.7,0,62.86672
Star,536.25,0.7,0,62.86672
Block_5x1,530.4,4.7,0,0
Coin,518.7,1.7,0,0
Coin,522.6,1.7,0,0
Coin,526.5,-0.3,0,0
Coin,530.4,-1.3,0,0
Coin,534.3,-2.3,0,0
Coin,536.25,-2.3,0,0
Star,542.1,-2.3,0,62.86672
Star,544.05,-1.8,0,62.86672
Star,546,-1.3,0,62.86672
Star,547.95,-0.8,0,62.86672
Star,549.9,-0.3,0,62.86672
Star,551.85,0.2,0,62.86672
Block_5x1,553.8,0.2,0,0
Block_5x1,561.6,-0.8,0,0
Block_5x1,565.5,2.2,0,0
Star,575.25,0.2,0,62.86672
Block_5x1,542.1,6.2,0,0
Coin,561.6,0.2,0,0
Coin,565.5,0.2,0,0
Coin,567.45,0.2,0,0
Coin,571.35,0.2,0,0
Coin,575.25,2.7,0,0
Coin,575.25,-1.8,0,0
Block_2x10,580.25,-2.3,0,0
Block_2x10,580.15,5.7,0,0
Block_2x10,590.85,4.7,0,0
Block_2x10,590.85,-1.3,0,0
Coin,579.15,2.2,0,0
Coin,581.1,1.7,0,0
Coin,583.05,2.2,0,0
Coin,585,2.2,0,0
Coin,588.9,2.2,0,0
Block_2x10,602.55,-0.8,0,0
Block_2x10,602.55,3.2,0,0
PT_Wave,602.6,1.7,0,0
Block_2x10,612.55,3.2,0,0
Block_2x10,612.55,-0.8,0,0
Block_2x10,622.55,3.2,0,0
Block_2x10,622.55,-0.8,0,0
Block_2x10,632.55,3.2,0,0
Block_2x10,632.55,-0.8,0,0
Block,601.22,-0.34,0,0
Block,601.26,4.62,0,0
Coin,606.45,1.2,0,0
Coin,608.4,2.2,0,0
Coin,610.35,1.2,0,0
Coin,612.3,2.2,0,0
Coin,614.25,1.2,0,0
Coin,616.2,2.2,0,0
Coin,618.15,1.2,0,0
Coin,620.1,2.2,0,0
Coin,622.05,1.2,0,0
Coin,624,2.2,0,0
Coin,625.95,1.2,0,0
Coin,627.9,2.2,0,0
Coin,629.85,1.2,0,0
Coin,631.8,2.2,0,0
Coin,633.75,1.2,0,0
Coin,635.7,2.2,0,0
Coin,637.65,1.2,0,0
PT_Cube,641.5,1.7,0,0
PT_Gravityfalse,643.5,0.2,0,0
Block_1x10,645.9,5.7,0,0
Block_1x10,647.4,-2.3,0,0
Coin,647.4,4.7,0,0
Coin,649.35,4.7,0,0
Block,652.3,4.7,0,0
Block,653.25,-0.3000002,0,0
Block_1x10,655.2,4.2,0,0
Block,655.2,-0.3,0,0
Block,657.15,0.7,0,0
Block,659.1,1.2,0,0
Block,661.05,1.2,0,0
Block,663,1.2,0,0
Coin,659.1,2.2,0,0
Coin,661.05,2.2,0,0
Coin,663,2.2,0,0
PT_GravityOn,665,2.2,0,0
Block_1x10,678.6,-2.3,0,0
Block_1x10,684.45,-1.3,0,0
Block_1x10,686.4,1.7,0,0
Coin,678.6,-1.3,0,0
Coin,680.55,-1.3,0,0
Coin,682.5,-1.3,0,0
Coin,686.4,0.7,0,0
Coin,688.35,0.7,0,0
Coin,690.3,0.7,0,0
Coin,692.25,0.7,0,0
Coin,694.2,0.7,0,0
Coin,698.1,-2.3,0,0
Block,705.9,-2.3,0,0
Block,711.75,-2.3,0,0
Block,717.6,-2.3,0,0
Coin,707.85,-2.3,0,0
Coin,705.9,-0.3,0,0
Coin,711.75,-0.3,0,0
Coin,713.7,-2.3,0,0
Coin,717.6,-0.3,0,0
Block,729.3,-2.3,0,0
Block,733.2,-1.3,0,0
Block,737.1,0.2,0,0
Block_1x10,741.73,0.2,0,0
Block,746.85,-2.3,0,0
Block,750.75,1.2,0,0
Block_1x10,755.6,2.2,0,0
Coin,764.4,4.7,0,0
Coin,770.25,-0.3,0,0
Block,756.6,-2.3,0,0
Block,760.5,0.2,0,0
Block,764.4,-2.3,0,0
Block,774.15,-2.3,0,0
Block,778.05,-2.3,0,0
Block,783.9,-0.3,0,0
Block,787.8,-0.3,0,0
Block,791.7,-0.3,0,0
Coin,783.9,-1.3,0,0
Coin,787.8,-1.3,0,0
Coin,791.7,-1.3,0,0
Block,801.45,-2.3,0,0
Block,830.7,-2.3,0,0
Block,832.65,-2.3,0,0
Coin,809.25,-0.3,0,0
Coin,817.05,-0.3,0,0
Coin,820.95,-2.3,0,0
Coin,822.9,-2.3,0,0
Block_1x10,840.45,-0.8,0,0
Spike,840.45,-2.3,0,0
Block_2x2,852.9999,-2.3,0,0
Block_2x2,857.9999,-2.3,0,0
Block_1x10,861.9,-0.8,0,0
Star,861.9,-2.3,0,72.4407
Block_6x3,873.6,-2.3,0,0
Block_6x3,879.6,-2.3,0,0
Block_6x3,873.6,4.7,0,0
Block_6x3,879.6,4.7,0,0
PT_Spider,884.2499,2.2,0,0
Block_2x10,885.6,-1.3,0,0
Block_2x10,885.6,4.7,0,0
Spike,891.15,3.7,0,0
Spike,894.55,0.7,0,0
Block_5x1,895.6,4.7,0,0
Block_5x1,896.9999,-0.3,0,0
Block_5x1,901.35,3.7,0,0
Block_5x1,908.7,3.7,0,0
Block_5x1,910.65,-0.3,0,0
Block_5x1,914.55,5.2,0,0
Block_1x10,917.9,-2.3,0,0
Block_1x10,902.2499,-2.3,0,0
Block,905.35,2.7,0,0
Spike,909.7,-1.3,0,0
Block_1x10,920.4,3.7,0,0
Spike,916.4999,-2.3,0,0
Block,912.4999,2.7,0,0
Block,919.4999,5.2,0,0
Block,924.3,-1.3,0,0
Block,928.2,2.7,0,0
Block_1x10,927.9,-2.3,0,0
Block_1x10,930.4,3.7,0,0
Block,932.1,-1.3,0,0
Block,934.05,2.7,0,0
Block,937.95,-1.3,0,0
Block_1x10,937.95,-2.3,0,0
Block_5x1,941.35,2.7,0,0
Block,943.8,-1.3,0,0
Block_5x1,946.7,1.2,0,0
Star,952.24,0.7,0,72.4407
Block,955.4999,-2.3,0,0
Block,959.4,-0.8,0,0
Block_1x10,953.4999,0.2,0,0
Spike,948.2,-2.3,0,0
PT_Cube,963.3,-1.3,0,0
Block_1x10,969.15,-2.3,0,0
Coin,969.15,-1.3,0,0
Coin,971.1,-1.3,0,0
Coin,973.05,-1.3,0,0
Coin,976.95,-1.3,0,0
Coin,980.85,-2.3,0,0
Coin,998.4,-2.3,0,0
Coin,1000.35,-2.3,0,0
Coin,1002.3,-1.3,0,0
Coin,1004.25,-2.3,0,0
Block_2x2,834.6,-2.3,0,0
Block_2x2,836.55,-2.3,0,0
