type,x,y,z,rotation
Block_2x10,354.836,3.2,0,0
Coin,351.77,2.2,0,0
Coin,360.2178,2.2,0,0
Coin,363.0542,1.2,0,0
Block,368.7269,2.2,0,0
Block_2x10,374.836,2.2,0,0
Block,377.236,-2.3,0,0
Block,380.0723,-2.3,0,0
Block,382.9087,-2.3,0,0
Block_2x2,385.7451,2.2,0,0
Block_1x10,389.7451,3.2,0,0
Coin,391.4178,2.2,0,0
Block_1x10,399.7451,3.2,0,0
Block,397.0905,0.7,0,0
Block,402.7632,0.7,0,0
Coin,397.0905,1.7,0,0
Coin,402.7632,1.7,0,0
PT_Ship,408.436,1.2,0,0
Block_2x5,414.1087,-4.3,0,0
Block_2x5,419.7814,-3.3,0,0
Block_2x5,425.4541,-2.3,0,0
Block_2x2,431.1268,5.7,0,0
Block_2x5,436.7996,-4.3,0,0
Star,442.4723,5.7,0,195.0884
Star,445.3086,4.7,0,152.8657
Block_2x5,448.145,2.7,0,0
Star,453.8177,5.2,0,48.54591
Block_2x2,448.145,-2.3,0,0
PT_GravityOn,448.145,0.7,0,0
Star,459.4904,6.2,0,111.2418
Star,463.745,0.7,0,252.4232
Star,467.9995,-0.3,0,342.3472
Block_2x10,473.6722,-0.3,0,0
Block_2x2,473.6722,-2.3,0,0
Block_2x10,487.854,-2.3,0,0
Star,476.5086,1.99,0,49.25193
Star,482.1813,3.53,0,196.863
Block_2x10,487.854,5.7,0,0
Block_2x10,496.3631,-0.3,0,0
Block_2x10,496.3631,3.7,0,0
Block_2x10,506.3631,-0.3,0,0
Block_2x10,506.3631,3.7,0,0
Block_1x10,516.3904,0.7,0,0
Block_1x10,516.3904,3.7,0,0
Block,502.36,1.7,0,0
Block,509.36,2.7,0,0
Block,516.36,1.7,0,0
Block,521.36,2.7,0,0
Block_1x10,526.3904,3.7,0,0
Block_1x10,526.3904,0.7,0,0
Block_1x10,536.3904,0.7,0,0
Block_2x10,536.3904,2.7,0,0
Block_1x10,536.3904,-0.3,0,0
Block_2x2,473.6722,5.7,0,0
Line,561.754,-0.8,0,0
Line,561.754,1.7,0,0
Line,561.754,4.2,0,0
Line,593.4539,-0.8,0,0
Line,593.4539,1.7,0,0
Line,593.4539,4.2,0,0
Star,550.254,4.2,0,164.746
Star,553.0903,1.7,0,98.77975
Star,555.9267,1.7,0,151.7445
Star,561.5994,-2.3,0,221.189
Star,564.4358,-2.3,0,272.1631
Star,567.2722,-2.3,0,11.32574
Star,561.5994,4.2,0,245.3615
Star,564.4358,4.2,0,284.1001
Star,567.2722,4.2,0,14.14968
Star,571.5267,-0.8,0,231.7089
Star,564.4358,-0.8,0,92.83096
Star,571.5267,-2.3,0,289.4679
Star,571.5267,1.7,0,25.18927
Star,581.4539,4.2,0,322.5601
Star,584.2903,1.7,0,141.7489
Star,587.1267,4.2,0,329.5125
Star,589.963,-0.8000002,0,2.635141
Star,592.7994,1.7,0,262.4405
Star,598.4721,-2.3,0,10.61444
PT_Cube,545.41,1.7,0,0
Line,625.3176,-0.8,0,0
Line,625.3176,1.7,0,0
Line,625.3176,4.2,0,0
Star,598.4721,1.7,0,252.8539
Star,598.4721,-0.8,0,22.11569
Star,598.4721,4.2,0,92.54773
Star,606.9812,1.7,0,202.4992
Star,609.8176,-2.3,0,21.47211
Star,612.6539,-2.3,0,263.7203
Star,604.1448,-2.3,0,115.2823
