type,x,y,z,rotation
Block,200.8093,-1.55,0,0
Block,204.0236,-2.65,0,0
Block,205.0236,-2.65,0,0
Block,195.1427,7.1,0,0
Block,195.1427,8.1,0,0
Block,222.6188,-2.65,0,0
Block,232.5236,-2.65,0,0
Block,241.1902,-2.65,0,0
Coin,221.6188,7.7,0,0
Coin,231.5236,7.7,0,0
Coin,240.1902,7.7,0,0
Block,225.095,8.1,0,0
Block,234.5236,8.1,0,0
Block,243.1902,8.1,0,0
Block,248.6188,-2.65,0,0
Block_2x2,253.5712,-2.65,0,0
Block_3x3,258.5236,-2.65,0,0
Block,249.6188,-2.65,0,0
Coin,247.6188,-1.3,0,0
Coin,252.5712,0.2,0,0
Coin,257.5236,1.2,0,0
Block_1x5,263.9759,-2.65,0,0
Block_1x5,268.6664,-2.65,0,0
Block_1x5,273.6188,-2.65,0,0
Block,274.6426,8.1,0,0
Block,283.0473,8.1,0,0
Star_5x1,274.833,-2.65,0,0
Star_5x1,279.833,-2.65,0,0
Spike,267.1902,-2.65,0,0
Spike,265.1902,-2.65,0,0
Spike,270.1426,-2.65,0,0
Spike,272.1426,-2.65,0,0
Coin,262.4759,7.7,0,0
Coin,272.6426,6.7,0,0
Coin,282.0473,6.7,0,0
Coin,294.6664,-2.3,0,0
Coin,297.1425,7.7,0,0
Block,303.0949,-2.65,0,0
Block_1x10,306.8092,7.95,0,0
Block_5x1,311.8092,6.95,0,0
Block,321.6664,8.1,0,0
Coin,320.6664,6.7,0,0
Coin,324.3806,7.7,0,0
Block,310.7616,-2.65,0,0
Block,317.9521,-2.65,0,0
Block,321.6664,-2.65,0,0
Block,321.6664,-1.65,0,0
Block,325.3806,-2.65,0,0
Coin,316.9521,-1.55,0,0
Coin,320.6664,-0.04999995,0,0
Coin,324.3806,-1.55,0,0
Block_5x1,342.7139,-2.65,0,0
Block_5x1,351.3806,-1.65,0,0
Block_5x1,356.3806,-1.65,0,0
Block_1x5,363.9996,-4.9,0,0
Block,347.7139,-2.65,0,0
Block,348.7139,-2.65,0,0
Block,361.3806,-1.65,0,0
Block_1x5,367.2496,-3.9,0,0
Spike_F_5x1,360.8806,8.1,0,0
Spike_F_5x1,350.3806,8.1,0,0
Block_1x5,364.9996,-4.9,0,0
Star_5x1,368.4282,-2.65,0,0
Block,377.3806,8.1,0,0
Block,387.2853,8.1,0,0
Spike,377.3806,-2.65,0,0
Spike,387.2853,-2.65,0,0
Coin,391.2377,8.1,0,0
Coin,396.1901,-2.65,0,0
Coin,401.1424,8.1,0,0
Coin,406.0948,-2.65,0,0
Block_1x5,416.9996,-2.65,0,0
Block_1x5,449.2496,4.1,0,0
Block_1x5,454.2019,-2.65,0,0
Block_2x2,459.1543,7.1,0,0
Block_2x2,464.1067,-2.65,0,0
Block_1x5,421.9519,4.1,0,0
Block_2x2,426.9043,-2.65,0,0
Block_2x2,431.8567,7.1,0,0
Block_2x2,392.2377,-2.65,0,0
Block_2x2,397.1901,7.1,0,0
Block_2x2,402.1424,-2.65,0,0
Block_2x2,407.0948,7.1,0,0
Block,439.2852,-2.65,0,0
Block,444.2376,8.1,0,0
Block_2x2,467.9995,7.1,0,0
Block_5x1,476.4281,-2.65,0,0
Block_5x1,476.4281,8.1,0,0
Block_5x1,482.8566,6.85,0,0
Block_5x1,482.8566,-0.9000001,0,0
Block,496.4876,-2.65,0,0
Block,498.9637,0.0999999,0,0
Block,501.4399,-2.65,0,0
Block,503.9162,0.0999999,0,0
Block,506.3923,-2.65,0,0
Spike_F,496.4876,8.1,0,180
Spike_F,501.4399,8.1,0,180
Spike_F,506.3923,8.1,0,180
Coin,415.9996,8.1,0,0
Coin,425.9043,8.1,0,0
Coin,435.8091,-2.65,0,0
Coin,445.9876,-2.65,0,0
Coin,455.6186,8.1,0,0
Coin,465.5233,8.1,0,0
Coin,475.4281,-1.4,0,0
Coin,482.8566,0.3499999,0,0
Coin,482.8566,5.6,0,0
Coin,497.7137,-1.15,0,0
Coin,502.6662,-1.15,0,0
Coin,497.7137,7.85,0,0
Coin,502.6662,7.85,0,0
Block,520.9995,-2.65,0,0
Block,525.9518,-2.65,0,0
Spike_F_5x1,511.8447,8.1,0,0
Block_1x10,530.9042,-2.65,0,0
Block_1x10,540.9042,-2.65,0,0
Block,534.8566,0.3499999,0,0
Block,539.809,0.3499999,0,0
Block,539.809,6.6,0,0
Block,540.809,6.6,0,0
Block,544.7614,0.3499999,0,0
Coin,534.8566,-0.6500001,0,0
Coin,539.809,-0.6500001,0,0
Coin,544.7614,-0.6500001,0,0
Block_5x1,533.3804,8.1,0,0
Block_5x1,544.7137,6.6,0,0
Block_5x1,555.6661,-2.65,0,0
Block_5x1,555.6661,8.1,0,0
Block_5x1,561.6661,6.6,0,0
Block_5x1,561.6661,-1.4,0,0
Block_5x1,567.4161,-0.1500001,0,0
Block_5x1,567.4161,5.6,0,0
Block_5x1,572.4161,5.6,0,0
Block_5x1,572.4161,-0.1500001,0,0
Block_5x1,580.428,-2.65,0,0
Block_5x1,576.428,3.85,0,0
Block_5x1,591.8089,5.85,0,0
Block_5x1,596.7613,2.1,0,0
Block_5x1,599.2375,-2.65,0,0
Block_5x1,585.6184,8.1,0,0
Star,581.928,7.85,0,253.8079
Star,590.5946,7.1,0,319.0146
Star,597.7613,3.35,0,118.8811
Star,604.4875,-1.65,0,198.7796
Block,584.6184,8.1,0,0
Block_5x1,606.1899,6.6,0,0
Block_5x1,607.9042,0.0999999,0,0
Block_5x1,617.5708,8.1,0,0
Block_5x1,617.5708,-2.65,0,0
Block_5x1,626.4874,6.1,0,0
Block_5x1,626.4874,2.85,0,0
Block_5x1,626.4874,-0.4000001,0,0
Block,624.0113,7.6,0,0
Block,624.0113,-1.65,0,0
Block_5x1,636.3803,2.85,0,0
Block,637.3803,8.1,0,0
Block,637.3803,-2.65,0,0
Block,648.5231,8.1,0,0
Block,648.5231,-2.65,0,0
Block,653.7136,-0.6500001,0,0
Block,658.666,-0.6500001,0,0
Block,653.7136,6.35,0,0
Block,658.666,6.35,0,0
Coin,653.7136,-1.65,0,0
Coin,658.666,-1.65,0,0
Coin,658.666,7.35,0,0
Coin,653.7136,7.35,0,0
Block_5x1,667.0945,-2.65,0,0
Block_2x2,674.5231,-2.65,0,0
Block_2x10,678.2374,-2.65,0,0
Block_1x10,678.2374,-0.6500001,0,0
Spike_F,667.3445,8.1,0,180
Block_1x10,674.5231,8.1,0,0
Block,678.2374,7.1,0,0
Block,681.9517,7.1,0,0
Block_5x1,683.5231,8.1,0,0
Block_2x10,690.1064,-2.65,0,0
Block_2x10,690.1064,7.1,0,0
Star,688.6302,-0.1500001,0,156.489
Star,688.6302,7.85,0,181.2549
Block,681.9517,0.3499999,0,0
Block_1x10,701.9993,8.1,0,0
Block_1x10,701.9993,-2.65,0,0
Spike,707.9516,-1.65,0,0
Spike_F,707.9516,7.1,0,180
Block_2x1,715.6183,-1.9,0,0
Block_2x1,715.6183,7.6,0,0
Block_2x1,720.5707,-0.6500001,0,0
Block_2x1,720.5707,6.1,0,0
Block_1x10,723.5707,5.1,0,0
Block_1x10,723.5707,0.3499999,0,0
PT_Ship,733.04,2.71,0,0
Block,732.5707,5.1,0,0
Block,732.5707,0.3499999,0,0
Block,727.7612,1.35,0,0
Block,731.4754,4.1,0,0
Block,717.6183,7.6,0,0
Block,717.6183,-1.9,0,0
Block,719.5945,6.1,0,0
Block,719.5945,-0.6500001,0,0
Block,714.6183,7.6,0,0
Block,714.6183,-1.9,0,0
Block,67.85707,8.1,0,0
Block,60.42851,8.1,0,0
Spike,263.9759,2.35,0,0
Spike,268.6664,2.35,0,0
Spike,273.6188,2.35,0,0
Coin,341.7139,-0.9000001,0,0
Coin,351.6187,-0.4000001,0,0
Coin,371.4282,7.85,0,0
Spike_F,697.1064,6.1,0,180
Block,699.1064,-0.6500001,0,0
Block_1x5,752.7612,-2.65,0,0
Block_1x5,760.1896,4.1,0,0
Block_1x5,772.5706,-2.65,0,0
Block_1x5,779.9992,4.1,0,0
Block_1x5,792.3801,-2.65,0,0
Block_1x5,799.8087,4.1,0,0
Block_1x5,812.1896,-2.65,0,0
Block_1x5,819.6182,4.1,0,0
Block_1x5,831.9992,-2.65,0,0
Block_1x5,839.4277,4.1,0,0
Block_1x5,851.8086,-2.65,0,0
Block_1x5,859.2372,4.1,0,0
Block_1x5,871.6182,-2.65,0,0
Block_1x5,879.0468,4.1,0,0
